Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
positive regulation of intracellular signal transduction (GO:1902533)	51/480	1.2919008068143369E-6	5.993245288339601E-4	0	0	2.029608404966571	27.520263946736637	EPHB6;DDR1;HIP1;FLT4;IRS2;ADRA1B;FGF5;TFG;KDR;LGALS9;JAK2;EPHB2;CDK5RAP3;EPHA4;EPHA7;KSR1;UNC5B;WNT5A;GAB1;IL18;SOX11;NRG1;TNFRSF1B;DCN;KIT;ROR1;GAS6;EPHA2;PDGFB;NOD1;ADRB1;TNFRSF11A;MST1R;CXXC5;EGFR;SLC9A3R1;WNT11;DHX33;UBC;HMOX1;PMAIP1;SASH1;LYN;TGFB2;NEK6;IGF1;SELP;BMP2;PDCD4;FAS;FGFR3
regulation of cell migration (GO:0030334)	38/317	1.7160687398907229E-6	7.297582316385299E-4	0	0	2.2898532384852017	30.398888275083596	KANK1;CEMIP;SEMA3C;SEMA3A;SERPINE1;PDGFB;CHRD;SEMA3E;PRR5L;RND3;EGFR;PARD6B;WNT11;PDPN;KDR;CYP1B1;SRGAP1;TCAF2;SEMA4A;EDN1;JAG1;ANXA1;LMO4;SEMA4C;SEMA4F;IGF1;SULF1;RHOB;BMP2;DAB2;SFRP2;CXCL12;MYO1C;DLC1;PLXNB3;PLXNB2;SGK3;AMOTL2
positive regulation of vasculature development (GO:1904018)	19/105	1.962908231663743E-6	7.705169773984677E-4	0	0	3.456587983808614	45.423310949737285	PTGIS;ANXA3;SERPINE1;WNT5A;PDGFB;GATA6;GAB1;HSPB1;VEGFC;GATA4;RHOB;APELA;SFRP2;KIT;KDR;CYP1B1;HMOX1;RAPGEF3;SASH1
positive regulation of nucleic acid-templated transcription (GO:1903508)	52/503	2.3008048312094267E-6	8.386433609758361E-4	0	0	1.9747797835717311	25.637087944940614	AHR;GLI2;CDH1;MYC;CREB3L2;ZIC1;SOX8;YAF2;MAP3K5;MEF2C;WNT5A;PAX3;SOX11;EBF3;FOS;POU3F1;MYCN;DDIT3;HAND2;IRF1;CREB5;ENY2;CASZ1;MYRF;PDGFB;GATA6;GATA4;EGFR;WNT11;ATOH8;INPP5K;WNT4;ARNT2;AFAP1L2;FZD4;FOXF1;TGFB3;FZD7;USP22;STAT3;IGF1;KLF4;GDF6;SMARCA2;KLF2;DAB2;BMP2;WT1;LHX2;BCL3;NFE2L3;FOXA2
skeletal system development (GO:0001501)	23/147	2.395584216306121E-6	8.149777503873424E-4	0	0	2.9887790837442907	38.6804304854829	TGFB2;IGFBP4;WNT5A;NPR3;CHD7;CHRD;P3H1;SOX11;IGF1;SULF1;PCSK5;BMP6;PAPSS2;GLI2;SULF2;BMP2;WNT11;CREB3L2;CDH11;BMPR1B;FGFR3;NKX3-2;MATN3
negative regulation of cellular process (GO:0048523)	54/535	3.032748350804808E-6	9.672571771348085E-4	0	0	1.9280721955922127	24.498164952535674	TES;FHL1;ARHGAP1;WISP1;CTGF;NPPB;ADAMTS1;MYC;ARHGDIB;NCK2;CYP1B1;JAK2;KCNH2;P3H2;P3H1;SOX11;RHOB;SFRP4;IMPACT;SFRP2;NOV;IRF1;TXNIP;TNFRSF21;PKDCC;DDX4;ADAM22;STK39;FBLN1;TBRG1;SLC9A3R1;WNT11;PDPN;SH3BP4;SLIT3;MSX1;ZBTB7C;LYN;TGFB2;CDKN2C;TGFB3;VDR;OSGIN1;IFNLR1;KLF4;SMAD6;MARCH5;SMARCA2;BMP2;WT1;DLC1;PLXNB3;PDCD4;PLXNB2
positive regulation of transcription, DNA-templated (GO:0045893)	94/1121	3.7109503310688067E-6	0.0011139399729084777	0	0	1.6017899150284531	20.02913759223141	RASL11A;SERPINE1;AHR;HOXC11;HOXC10;GLI2;HHEX;CDH1;MYC;ZIC1;CREB3L2;NCK2;SOX8;YAF2;MAP3K5;KDM6B;MEF2C;EDN1;WNT5A;IL18;TFEB;PAX3;SOX11;EBF3;FOS;SOX12;POU3F1;PPRC1;DCN;GREM1;CREB3;PLSCR1;SFRP2;MYCN;DDIT3;HAND2;IRF1;HOXB4;AHRR;IRF5;HOXB2;ZFPM2;VGLL2;SQSTM1;HOXB7;ATF3;CREB5;ENY2;CASZ1;MYRF;GATA6;PDGFB;GLIS3;GATA4;EGFR;WNT11;DHX33;ATOH8;UBC;HOXC4;INPP5K;WNT2;WNT4;IL33;ARNT2;AFAP1L2;JAG1;FOXF1;VDR;FZD4;TGFB3;FZD7;MACC1;USP22;STAT3;IGF1;KLF4;GDF6;SMARCA2;BMP6;KLF2;BMP2;DAB2;TNIP1;NFIA;WT1;LHX2;TLX2;BCL3;NFE2L3;BMPR1B;RBMX;HOXD8;FOXA2
positive regulation of signal transduction (GO:0009967)	28/207	3.938148241660511E-6	0.0011164650265107548	0	0	2.5838720245098714	32.155770401532756	KANK1;C3;RIMS2;HHEX;CDH3;ADAMTS3;GRB10;TMEM108;RSPO3;JAK2;SASH1;JAG2;TGFB2;JAG1;PTGIS;BDNF;STAT3;IGF1;SULF1;TPD52L1;BMP6;SULF2;BMP2;MYO1C;NOV;FAS;GAS6;SHANK3
regulation of kinase activity (GO:0043549)	18/102	5.2552977021715155E-6	0.0014114623249569076	0	0	3.370975897522333	40.97850633412438	EPHB6;DDR1;EPHA4;EPHA7;LMO4;KIDINS220;FLT4;IRS2;MST1R;EGFR;SLC9A3R1;KIT;KDR;PLCE1;ROR1;EPHB2;FGFR3;EPHA2
positive regulation of angiogenesis (GO:0045766)	18/104	6.9758433610175084E-6	0.0017798864335636174	0	0	3.3061494379545953	39.25410180380958	PTGIS;ANXA3;SERPINE1;WNT5A;GATA6;GAB1;HSPB1;VEGFC;GATA4;KLF4;RHOB;APELA;SFRP2;KDR;CYP1B1;HMOX1;RAPGEF3;SASH1
negative regulation of apoptotic process (GO:0043066)	49/486	8.905110061449067E-6	0.0021639417449321233	0	0	1.9259416478985618	22.396554482829384	EPHB6;DDR1;FLT4;HSPB1;CCND2;MYC;PIM1;KDR;PIM3;SOX8;EPHB2;HTATIP2;EPHA4;MEF2C;EPHA7;ANXA1;UNC5B;WNT5A;SERPINB9;TNFRSF1B;GREM1;RNF144B;KIT;ROR1;GAS6;SQSTM1;EPHA2;BHLHB9;GATA6;NDNF;MST1R;EGFR;SOCS2;WNT11;PDPN;UBC;SFN;BDNF;TGFB3;STAT3;IGF1;KLF4;SMAD6;DAB2;KRT18;WT1;BCL3;FAS;FGFR3
outflow tract septum morphogenesis (GO:0003148)	8/22	9.091685426013314E-6	0.0021088577604066335	0	0	6.946253364591474	80.63315274157641	NELL2;TGFB2;SEMA3C;TBX20;GATA6;LRP2;SMAD6;ZFPM2
positive regulation of macromolecule metabolic process (GO:0010604)	33/277	9.249957612938335E-6	0.002052284073861927	0	0	2.275712970529517	26.377542328714394	PDGFB;RIMS2;C1QTNF1;CDH3;WNT11;MYC;LGALS9;EPHB2;BVES;ATAD1;MEF2C;VDR;STAT3;WNT5A;SOX11;ANK2;SERPINB9;IGF1;POU3F1;KLF4;KLF2;ACTA2;GREM1;P2RX7;SFRP4;PLSCR1;BMP2;MYCN;HAND2;UBAP2;FAM98A;EZR;GAS6
neural crest cell development (GO:0014032)	10/36	1.0809321607714295E-5	0.002298332006840252	0	0	5.306165764618487	60.67654507203399	SEMA4A;SEMA3C;SEMA3A;SEMA4C;NOLC1;SEMA3E;SOX8;SEMA4F;NRG1;SOX11
negative regulation of response to stimulus (GO:0048585)	20/128	1.0930041657109662E-5	0.002231040103049224	0	0	2.9847182425978986	34.09740760661302	EPHB6;LYN;DDR1;EPHA4;EPHA7;TGFB2;NLRX1;FLT4;NOD1;MST1R;KLF4;EGFR;KIT;KDR;PIM3;ROR1;EPHB2;FGFR3;EPHA2;FOXA2
positive regulation of cell differentiation (GO:0045597)	26/195	1.1194428143360972E-5	0.002197121800598886	0	0	2.5469595670168736	29.03557947316384	CRB2;FBN2;PKDCC;LPL;LOXL2;CTGF;CDH2;PDPN;BOC;KDR;WNT4;MEF2C;TGFB2;TGFB3;IL18;SOX11;IGF1;TMEM64;GDF6;NPNT;BMP6;BMP2;DAB2;SFRP2;HOXB4;BMPR1B
peptidyl-tyrosine modification (GO:0018212)	12/52	1.1735243101826691E-5	0.0022179609462452446	0	0	4.408199250606128	50.045907043917936	LYN;EPHA4;EFEMP1;PKDCC;FLT4;KIT;KDR;PDGFB;EPHB2;JAK2;FGFR3;EGFR
semaphorin-plexin signaling pathway (GO:0071526)	9/30	1.5039345782743233E-5	0.002740920768904954	0	0	5.730659025787966	63.63805581018043	NELL2;SEMA4A;SEMA3C;SEMA3A;SEMA4C;PLXNB3;PLXNB2;SEMA3E;SEMA4F
tube closure (GO:0060606)	9/30	1.5039345782743233E-5	0.0026464062596323694	0	0	5.730659025787966	63.63805581018043	TGFB2;LMO4;DLC1;SEMA4C;COBL;PLXNB2;LRP2;CELSR1;FOLR1
negative regulation of MAPK cascade (GO:0043409)	15/81	1.7346548028813024E-5	0.002950647819701095	0	0	3.5374438430789907	38.77787340281607	LYN;SPRY4;FBLN1;DUSP6;P2RX7;SLC9A3R1;UCHL1;TNIP1;MYC;TIMP3;INPP5K;SPRY1;EPHB2;EZR;CDK5RAP3
regulation of apoptotic process (GO:0042981)	71/816	1.8034519126570422E-5	0.0029687145517060926	0	0	1.6620783939172612	18.155252786181016	EPHB6;DDR1;HIP1;FLT4;NRK;HSPB1;CCND2;MYC;PIM1;KDR;ANKRD1;CYP1B1;PIM3;SOX8;JAK2;EPHB2;MAP3K5;HTATIP2;VAV3;EPHA4;MAP4K2;MEF2C;EPHA7;ANXA1;PTGIS;WNT5A;PAWR;SERPINB9;TNFRSF1B;DUSP6;RHOB;GREM1;SFRP4;RNF144B;SFRP2;KIT;ROR1;IRF5;SGK3;GAS6;SQSTM1;TNFRSF21;ARHGEF5;EPHA2;GATA6;STK39;TNFRSF11A;MST1R;KALRN;EGFR;SOCS2;WNT11;PDPN;UBC;SAP18;PMAIP1;TGFB2;TGFB3;STAT3;INHBB;IGF1;GDF6;SMAD6;BMP6;BMP2;DAB2;KRT18;WT1;BCL3;FAS;FGFR3
positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	73/849	2.0469185028424758E-5	0.0032641953500016107	0	0	1.6424739257264291	17.733117515863896	SERPINE1;ARHGEF10L;AHR;HOXC11;HOXC10;GLI2;HHEX;MYC;NCK2;SOX8;KDM6B;MEF2C;EDN1;WNT5A;IL18;TFEB;PAX3;SOX11;EBF3;FOS;SOX12;PPRC1;DCN;GREM1;CREB3;PLSCR1;SFRP2;MYCN;DDIT3;HAND2;IRF1;HOXB4;AHRR;IRF5;HOXB2;ZFPM2;VGLL2;SQSTM1;HOXB7;ZFPM1;ATF3;PDGFB;GLIS3;GATA4;EGFR;UBC;HOXC4;WNT2;IL33;ARNT2;TGFB2;JAG1;FOXF1;VDR;TGFB3;MACC1;STAT3;MICAL2;SMAD9;IGF1;KLF4;SMARCA2;PBX1;BMP6;KLF2;BMP2;TNIP1;NFIA;TLX2;BMPR1B;RBMX;HOXD8;FOXA2
positive regulation of MAPK cascade (GO:0043410)	33/290	2.3979886532059394E-5	0.0037081624537302752	0	0	2.1736982511609524	23.12444354147834	EPHB6;DDR1;FLT4;PDGFB;MST1R;TNFRSF11A;ADRA1B;EGFR;CTGF;APELA;DHX33;KDR;LGALS9;EPHB2;EPHA4;EPHA7;EDN1;TGFB2;KSR1;SEMA4C;IGF1;NPNT;TNFRSF1B;TPD52L1;MID1;BMP2;HAND2;KIT;FAS;ROR1;GAS6;FGFR3;EPHA2
platelet degranulation (GO:0002576)	19/125	2.681679045646964E-5	0.004024884755863664	0	0	2.9035339063992356	30.563998438816405	LYN;TGFB2;SPARC;WDR1;TGFB3;PCDH7;SERPINE1;STXBP2;PDGFB;VEGFC;RAB27B;IGF1;SELP;MMRN1;TMSB4X;SELENOP;TIMP3;MAGED2;GAS6
positive regulation of bone mineralization (GO:0030501)	9/32	2.68208197015092E-5	0.003910475512480041	0	0	5.3724928366762175	56.552643897791015	FBN2;P2RX7;MEF2C;BMP2;PKDCC;TGFB3;BMPR1B;BMP6;WNT4
regulation of transcription from RNA polymerase II promoter (GO:0006357)	113/1479	2.7419831408975784E-5	0.0038867611022223173	0	0	1.4594646606131172	15.330572951624589	SERPINE1;AHR;LOXL2;FOXQ1;MYC;SOX8;MEF2C;WNT5A;SOX11;EBF3;SOX12;FOXP2;SFRP4;SFRP2;MYCN;DDIT3;HOXB4;HOXB2;EZR;ZFPM2;SQSTM1;HOXB7;ZFPM1;ATF3;ENY2;DLX4;TSHZ3;GATA6;GLIS3;FOXO6;TGFA;GATA4;HOXB13;FAM83G;UBC;HOXC5;HOXC4;ZBED5;WNT2;HOXC6;TGFB2;JAG1;FOXF1;VDR;TGFB3;SMAD9;IGF1;GDF6;SMAD6;SMARCA2;BMP6;BMP2;H2AFY2;YEATS2;TLX2;NFE2L3;SP8;BMPR1B;HOXD9;HOXD8;KDM5B;TFCP2L1;VLDLR;HOXC11;HOXC10;GLI2;HHEX;ZMYM6;NFKBIZ;NCK2;ANKRD1;HTATIP2;KDM6B;EDN1;IL18;TFEB;PAX3;FOS;PPRC1;DCN;GREM1;CREB3;PLSCR1;IMPACT;HAND2;IRF1;KIT;AHRR;IRF5;VGLL2;MDFI;SATB1;CXXC5;FSTL1;EGFR;CREG1;TBX20;SAP18;IL33;ARNT2;TCF7L1;MACC1;KCNIP3;STAT3;KLF4;KLF2;PER2;TNIP1;NFIA;WT1;PDCD4;RBMX;FOXA2
striated muscle cell differentiation (GO:0051146)	7/19	3.0526356064729986E-5	0.004210162026981544	0	0	7.037651435178203	73.16989976333878	KDM6B;POPDC3;MEF2C;BMP2;SORT1;NRG1;BVES
positive regulation of protein phosphorylation (GO:0001934)	42/413	3.134377304905468E-5	0.004209138786034896	0	0	1.942596279928124	20.145684886481817	EPHB6;DDR1;CEMIP;FLT4;PDGFB;FAM129A;TNFRSF11A;MST1R;ADRA1B;EGFR;C3;TRIM6;CCND2;DHX33;KDR;TNKS1BP1;JAK2;EPHB2;LYN;EPHA4;EPHA7;TGFB2;RBPMS;KSR1;TGFB3;INHBB;IGF1;TNFRSF1B;GDF6;BMP6;TOM1L1;DAB2;BMP2;SFRP2;KIT;FAS;ROR1;GAS6;CACUL1;FGFR3;RAPGEF3;EPHA2
cellular response to cytokine stimulus (GO:0071345)	45/457	3.6627540953141636E-5	0.004792572858561071	0	0	1.8809602929282163	19.21346413097761	CEBPD;MAOA;EPRS;CSF2RA;SOCS2;TRIM6;PTPRZ1;FLRT3;IRAK2;MYC;FLRT1;UBC;PIM1;ANKRD1;HMOX1;NDN;INPP5K;STX3;LGALS9;JAK2;LRRC4C;ANXA1;EDN2;PTGIS;MME;IL10RB;STAT3;WNT5A;IL18;IFNLR1;LIFR;FOS;TNFRSF1B;PTPN13;OSMR;NPNT;DCN;IL22RA1;IRF1;KIT;FSCN1;PTPN7;GAS6;RBMX;TNFRSF21
positive regulation of phosphorylation (GO:0042327)	26/209	3.810775635681752E-5	0.004861597017220996	0	0	2.376349835254978	24.17957990324869	EPHB6;DDR1;PFKFB3;FLT4;FAM129A;MST1R;EGFR;C3;CCND2;KDR;EPHB2;LYN;EPHA4;EPHA7;LMO4;FZD7;IGF1;P2RX7;BMP2;DAB2;KIT;FAS;ROR1;GAS6;FGFR3;EPHA2
negative regulation of cell proliferation (GO:0008285)	38/364	4.185328747882588E-5	0.0052092030732792316	0	0	1.9941853752742005	20.104061210462476	TES;FBLN1;TBRG1;SLC9A3R1;ADAMTS1;MYC;PDPN;NCK2;CYP1B1;HMOX1;SH3BP4;JAK2;ZBTB7C;LYN;TGFB2;CDKN2C;TGFB3;VDR;WNT5A;P3H2;P3H1;SOX11;IFNLR1;SMAD6;KLF4;SMARCA2;MTSS1;PER2;GREM1;SFRP4;BMP2;SFRP2;NOV;WT1;DLC1;IRF1;TRIB1;BMPR1B
regulation of ERK1 and ERK2 cascade (GO:0070372)	29/248	4.4567993980967625E-5	0.005415011268687566	0	0	2.2337246202668144	22.37855800202252	EPHB6;DDR1;FLT4;PDGFB;FBLN1;MST1R;EGFR;CTGF;SLC9A3R1;APELA;KDR;TIMP3;LGALS9;EPHB2;LYN;EPHA4;EPHA7;NPNT;DUSP6;BMP2;TNIP1;HAND2;KIT;ROR1;SPRY1;EZR;GAS6;FGFR3;EPHA2
neural tube closure (GO:0001843)	9/34	4.562901999262002E-5	0.005414997419124185	0	0	5.056463846283499	50.53918746257747	TGFB2;LMO4;DLC1;SEMA4C;COBL;PLXNB2;LRP2;CELSR1;FOLR1
positive regulation of biomineral tissue development (GO:0070169)	9/34	4.562901999262002E-5	0.005291929295962272	0	0	5.056463846283499	50.53918746257747	FBN2;P2RX7;MEF2C;BMP2;PKDCC;TGFB3;BMPR1B;BMP6;WNT4
negative chemotaxis (GO:0050919)	8/27	4.994402083794424E-5	0.005663651963022876	0	0	5.659910148926385	56.05918999881843	SEMA4A;EPHA7;SEMA3C;SEMA3A;SEMA4C;SEMA3E;SLIT3;SEMA4F
regulation of neuron projection development (GO:0010975)	18/120	5.1821698137148526E-5	0.00574882881725802	0	0	2.865329512893983	28.27421665744778	SCARB2;LYN;EPHA4;KANK1;KIDINS220;SEMA3A;WNT5A;STMN2;P3H1;NDNF;SSH3;GAK;CDH2;PLXNB3;PLXNB2;SERPINI1;LRRC4C;DBN1
positive regulation of MAP kinase activity (GO:0043406)	23/178	5.802590804601205E-5	0.0063001321012510535	0	0	2.468261378148375	24.0769541659138	EDN1;KIDINS220;WNT5A;PDGFB;STK39;TGFA;NRG1;NOD1;MST1R;TNFRSF11A;IGF1;TPD52L1;DUSP6;EGFR;BMP2;IRAK2;UBC;KIT;PLCE1;MAP3K6;ARHGEF5;SASH1;MAP3K5
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	40/397	5.897649759465957E-5	0.006269938900532245	0	0	1.9246545846475116	18.743001430061792	EPHB6;DDR1;FLT4;PDGFB;HSPB1;IRS2;MST1R;KALRN;FGF5;SOCS2;EFNB1;BAIAP2L1;FLRT3;FLRT1;UBC;NCK2;KDR;POLR2G;JAK2;EPHB2;LYN;VAV3;EPHA4;EPHA7;BDNF;SORT1;STAT3;GAB1;VEGFC;NRG1;IGF1;SULF1;MTSS1;SULF2;NELL2;ESRP2;KIT;ELMO1;FGFR3;EPHA2
glycosaminoglycan biosynthetic process (GO:0006024)	16/100	6.0357051593173464E-5	0.006285755801631923	0	0	3.0563514804202483	29.693166066213617	CEMIP;B4GALT1;SDC4;ABCC5;HS6ST1;HS6ST2;DCN;HS3ST1;B3GNT7;CHST12;CHST15;GPC3;GPC2;FMOD;CHST2;B4GALT4
regulation of endothelial cell migration (GO:0010594)	13/70	6.04410465800822E-5	0.006168613213963189	0	0	3.547550825487788	34.4603485771596	EDN1;SPARC;ANXA3;FLT4;WNT5A;DCN;RHOB;NELL2;ATOH8;KDR;ADAMTS9;SASH1;EPHA2
positive regulation of multicellular organismal process (GO:0051240)	25/203	6.301145692437043E-5	0.0063048522487267125	0	0	2.3524872848062257	22.75371338274531	CRB2;SERPINE1;PDGFB;METRNL;LOXL2;NPPB;APELA;PDPN;INPP5K;SOX8;IL33;TGFB2;TGFB3;VDR;WNT5A;IL18;SOX11;INHBB;BMP2;DAB2;H2AFY2;HAND2;GAS6;BMPR1B;FOXA2
negative regulation of axon extension involved in axon guidance (GO:0048843)	6/15	6.748765944919482E-5	0.006622875503254638	0	0	7.640878701050621	73.37968137363774	SEMA4A;SEMA3C;SEMA3A;SEMA4C;SEMA3E;SEMA4F
positive regulation of endothelial cell migration (GO:0010595)	13/71	7.048726125330861E-5	0.006786726305200638	0	0	3.497585320903453	33.437190423852705	EDN1;SPARC;ANXA3;FLT4;WNT5A;PDGFB;HSPB1;RHOB;NELL2;TMSB4X;ATOH8;KDR;SASH1
regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	14/81	7.266886254154546E-5	0.0068672075101760465	0	0	3.3016142535403916	31.463055153875317	TGFB2;UNC5B;PPP2R5B;IL18;PDGFB;IGF1;PTPN13;DCN;EGFR;SELP;SLC9A3R1;KIT;KDR;JAK2
positive regulation of stress-activated MAPK cascade (GO:0032874)	14/81	7.266886254154546E-5	0.006742349191809209	0	0	3.3016142535403916	31.463055153875317	MAP4K2;TGFB2;FLT4;SEMA3A;FZD7;SEMA4C;GDF6;TPD52L1;MID1;CTGF;BMP2;HAND2;SASH1;MAP3K5
positive regulation of osteoblast differentiation (GO:0045669)	9/36	7.45158079960556E-5	0.0067902530036405674	0	0	4.775549188156638	45.38920375941215	FBN2;MEF2C;BMP2;SOX11;IGF1;NPNT;BMPR1B;BMP6;WNT4
chondrocyte differentiation (GO:0002062)	8/29	8.794445847378407E-5	0.007873343361258247	0	0	5.269571517965945	49.21150134811139	MEF2C;BMP2;NOV;CREB3L2;SULF1;BMPR1B;FGFR3;SULF2
neural crest cell migration (GO:0001755)	8/29	8.794445847378407E-5	0.007737596061926208	0	0	5.269571517965945	49.21150134811139	SEMA4A;SEMA3C;SEMA3A;SEMA4C;SEMA3E;SOX8;SEMA4F;FOLR1
primary neural tube formation (GO:0014020)	8/29	8.794445847378407E-5	0.007606450365961357	0	0	5.269571517965945	49.21150134811139	TGFB2;LMO4;DLC1;SEMA4C;COBL;PLXNB2;LRP2;CELSR1
regulation of monocyte chemotaxis (GO:0090025)	7/22	8.997087505078867E-5	0.007652022923069576	0	0	6.077971694017539	56.62253351903964	LYN;GREM1;CREB3;CXCL12;NOV;SERPINE1;NBL1
regulated exocytosis (GO:0045055)	20/149	1.0159876642030157E-4	0.008499319754799981	0	0	2.5640532553861144	23.57513423312646	LYN;TGFB2;SPARC;WDR1;TGFB3;PCDH7;SERPINE1;STXBP2;PDGFB;VEGFC;RAB27B;IGF1;RIMS2;SELP;MMRN1;TMSB4X;SELENOP;TIMP3;MAGED2;GAS6
mesenchyme development (GO:0060485)	6/16	1.0320356643985136E-4	0.008494319347460668	0	0	7.163323782234957	65.75076752856914	BMP2;SFRP2;WNT11;FOXF1;GATA4;CRELD1
positive regulation of transferase activity (GO:0051347)	19/138	1.066068585104155E-4	0.008635155539343655	0	0	2.6300125963761194	24.055049137155294	EPHB6;ARRDC4;DDR1;EPHA4;EPHA7;PARM1;LMO4;FLT4;MST1R;KLF4;EGFR;GREM1;MYC;KIT;KDR;ROR1;EPHB2;FGFR3;EPHA2
negative regulation of signaling (GO:0023057)	14/84	1.0931629755741395E-4	0.008716266663054428	0	0	3.1836994587710916	29.039366652060853	DDR1;EPHB6;EPHA4;EPHA7;FLT4;MST1R;EGFR;KIT;KDR;ROR1;EPHB2;FGFR3;OPTN;EPHA2
