Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Asthma_Airway_smooth_muscle_GSE58434_down	53/498	0.0000007622022265141144930402218420073534588254915433935821056365966796875	0.00000661083397796575328829449258449812987237237393856048583984375	0.000000022373481496518027077136339555822608371471460486645810306072235107421875	0.00000019276754587397318740641847210903758735867086215876042842864990234375	-1.4101924962240837	19.86545774224324	TRAM1;CERK;VLDLR;ETS2;LGALS3;CSRP1;TCTN3;APPL2;IER3;ARHGEF10;BNIP3L;DUSP1;ZBTB38;ARID5B;GFRA1;FOS;PRSS12;EML1;DDIT4;TXNIP;TRIB3;SGK1;ATF4;PPP1R15A;NUMBL;PXK;SLC43A3;NEDD4L;MFF;PTGS2;FOXO3;NDRG1;GPR153;MXI1;STOM;HMOX1;ST3GAL1;ATP8B2;PRRX1;STAT2;PTPN13;FBXO32;FOSL2;VEGFA;PDP1;NR4A1;EHD3;SLC6A9;KLF9;TMEM119;PMP22;SNAI2;PFKP
Salmonella_HT-29_cells_(shCAP-D3)_0.5hrs_GSE62520_up	53/498	0.0000007622022265141144930402218420073534588254915433935821056365966796875	0.00000661083397796575328829449258449812987237237393856048583984375	0.000000022373481496518027077136339555822608371471460486645810306072235107421875	0.00000019276754587397318740641847210903758735867086215876042842864990234375	-1.406313206932216	19.810809984788936	SLC35F6;CDKN1A;TRAM1;CLIC4;SRXN1;TMEM41B;SLC7A11;GHITM;PVR;HERPUD1;MAP1LC3B;SERP1;CSRP1;FTH1;SESN2;CHAC1;MAF1;IER3;PDIA3;H2AFZ;GPT2;UBALD2;GTPBP2;MFSD12;TMX2;MTHFD2;TXNIP;TRIB3;ARHGEF2;SQSTM1;ATF4;PPP1R15A;AK1;DERL1;UAP1;SLC1A4;SLC3A2;CLCN3;S100A16;UBC;HMOX1;SEC11A;XBP1;HSPA5;GDF15;GADD45A;TXNRD1;SURF4;GFPT1;MOCOS;KRT18;SRPRB;HYOU1
Klf3_Fetal_Liver_Knockout_GSE50554_down	54/497	0.00000031137494413438103852963018298993791432849320699460804462432861328125	0.00000306893032059719532701996640156050233372297952882945537567138671875	0.0000000086783315631203888065300366418640398702422089627361856400966644287109375	0.0000000855341618456032269550299023015693666849301735055632889270782470703125	-1.3034514188779136	19.52865853837076	TRAM1;CLIC4;NARF;SRXN1;ITGB3;CPOX;GHITM;HK1;STK10;ALKBH5;EEF2K;CNST;SCRN3;FTH1;CHP1;IKBKG;PDIA3;ABCC3;DENND2C;BNIP3L;PCYT1B;BPGM;DUSP8;G6PDX;CSF1R;TRIM12C;TBCEL;FECH;ABHD4;USO1;NATD1;DAPP1;GLRX;CLN8;FAM214B;HSP90B1;DNAJB2;ADGRG1;RMND5A;MAT2A;MKNK1;ESD;GPR155;MPP2;UBE2H;GADD45A;YIPF4;SUCO;AP4B1;IBTK;RAB18;GCLM;MXD1;YPEL5
C9orf72_Spinal_cord_Knockdown_GSE77681_up	53/498	0.0000007622022265141144930402218420073534588254915433935821056365966796875	0.00000661083397796575328829449258449812987237237393856048583984375	0.000000022373481496518027077136339555822608371471460486645810306072235107421875	0.00000019276754587397318740641847210903758735867086215876042842864990234375	-1.371196179507292	19.316114525686046	RAB3A;NARF;CERK;SLC2A1;OTUD7B;KIF5C;TUBB3;APPL2;CPT1A;GABARAPL1;TSC22D3;PGAM1;ARID5B;KCNAB2;FOS;LMBRD1;PREPL;HOXB9;TMX2;DDIT4;SGK1;TSPYL4;NDRG4;STXBP1;SEL1L;SLC41A1;6430548M08RIK;MTMR4;CAMKK1;CTIF;SV2C;MAT2A;NACC2;UBC;EPB41L3;SASH1;PRPH;SEC11C;HSPA5;WFS1;LIMK1;VEGFA;PER1;PINK1;SLC6A8;SLC6A9;MKRN1;PMP22;CALR;LPIN1;SERINC3;FGFR3;MXD4
Dioxin_Liver_3_GSE62902_up	53/498	0.0000007622022265141144930402218420073534588254915433935821056365966796875	0.00000661083397796575328829449258449812987237237393856048583984375	0.000000022373481496518027077136339555822608371471460486645810306072235107421875	0.00000019276754587397318740641847210903758735867086215876042842864990234375	-1.369036672236227	19.285693430302064	TFRC;CPOX;GHITM;LIPA;HERPUD1;SERP1;FTH1;AOX3;CYP4V3;AOX1;CYP1B1;SLC12A6;PDIA3;ACAD8;ABCC3;CPT1A;ENTPD5;TSC22D3;PGAM1;4931406C07RIK;UGDH;POR;ZADH2;PCYOX1;CSF1R;SEC23A;USO1;SEL1L;DERL1;FAM214A;HSP90B1;LDHA;PGRMC1;ERBB3;UBC;ESD;PGK1;MAL2;DNAJB9;HSPA5;IDH1;EDEM1;BNIP3;TXNRD1;ALDH6A1;GCLC;CTH;HYOU1;SERINC1;CALR;SERINC3;GCLM;NFE2L2
EPAS1_Yolk_sac_Knockdown_GSE62974_up	52/499	0.000001818068844516349870873181231167858840080953086726367473602294921875	0.00001460066399207266151405622267578365836016018874943256378173828125	0.00000005647254700434900798587480367195234887134347445680759847164154052734375	0.00000044799258324791503214958314667282213150656389188952744007110595703125	-1.4540308976974436	19.218996097626974	CDKN1A;CLIC4;CALCOCO1;TFRC;PTPRN;ITGB3;STK10;MAP1LC3B;CSRP1;FTH1;OSBP;CHP1;TRP53INP2;CAST;GABARAPL1;PCYT1A;PGAM1;RNASE4;IMPACT;TUBB2A;TMBIM1;TXNIP;ALDOA;ATP6V0D1;SQSTM1;RHOQ;AK1;TOB1;LDHA;DNAJB4;UBC;PGK1;STOM;HMOX1;SARAF;CD14;IGFBP6;ST3GAL1;CD55;HSPA5;LHFP;MCAM;IDH1;PDE4DIP;MT1;PFKL;CYP2S1;CD248;SERINC3;PFKP;MXD4;FGFR1
Trim24_Liver_Knockout_GSE61117_down	53/498	0.0000007622022265141144930402218420073534588254915433935821056365966796875	0.00000661083397796575328829449258449812987237237393856048583984375	0.000000022373481496518027077136339555822608371471460486645810306072235107421875	0.00000019276754587397318740641847210903758735867086215876042842864990234375	-1.3635197758823787	19.20797661385384	ABCD3;ZFAND4;MSMO1;CROT;CSAD;ZFYVE1;LIPA;AOX3;TRP53INP2;PCMTD1;PDK1;ABCC3;GABARAPL1;ZHX3;GPT2;TSC22D3;ARRDC3;GFRA1;GPCPD1;ALDH3A2;NPC1;TMEM106B;ULK1;HECA;NRN1;INSIG2;MGST1;SGMS2;AU022252;FAM214A;RMND5A;ERBB3;CLMN;PGK1;FNIP1;SASH1;IDH1;BNIP3;KLHL24;ASS1;GSTZ1;ALDH6A1;GCLC;EHD3;RNF103;CCNG2;KLF9;PDCD4;HBP1;LPIN1;SERINC3;GCLM;CPEB2
Bacillus_Calmette-Guerin_Macrophage_4hr_GSE67427_up	55/496	0.000000123980439526809395386011008501070396192744738073088228702545166015625	0.000001378620101063068367679771870915050868688922491855919361114501953125	0.0000000032966501834891695852076826393946273885404707471025176346302032470703125	0.00000003665762298050777211566887410325310536762799529242329299449920654296875	-1.1941828319702046	18.991259186055785	CDKN1A;TRAM1;CLIC4;ALAS1;BTG1;TNFAIP6;GOLT1B;TFRC;SLC7A11;PVR;ETS2;LGALS3;RGS2;PDE4B;CYP1B1;PIM2;IER3;DUSP1;ARID5A;SERPINB9;EREG;DNAJC3;NPC1;MTHFD2;DDIT4;ATF3;ATF4;PPP1R15A;SLC41A2;MGST1;AK4;PTGS2;HSP90B1;LDHA;STOM;CD55;PLK3;HSPA5;VDR;EDEM1;TXNRD1;STAT3;PNRC1;GPR137B;FOSL2;VEGFA;RCAN1;RAB13;PMP22;RAB18;PTX3;MXD1;GLA;PFKP;LRP12
Dioxin_Liver_0.1_GSE62902_up	52/498	0.000001713094317063804860064150405174476787806270294822752475738525390625	0.00001384307892236031177902837174809036469014245085418224334716796875	0.0000000532544863732227651190770010246333665548945646150968968868255615234375	0.00000042505574706480257328133323842245250290261537884362041950225830078125	-1.387147432624792	18.417446765945467	ALAS1;CPOX;MIA3;LIPA;SERP1;AOX3;CYP4V3;SEC62;TRP53INP2;PCMTD1;ABCC3;CPT1A;ENTPD5;TSC22D3;ARRDC3;RNASE4;GFRA1;FNDC3A;PDIA4;DNAJC3;UGDH;METTL7A1;POR;PCYOX1;RBM47;NRN1;USO1;HSP90B1;HELZ2;LDHA;MAT2A;UBC;DNAJB9;ST3GAL1;ACBD5;XBP1;HSPA5;EDEM1;BNIP3;TXNRD1;STAT3;OSGIN1;CFLAR;SMARCA2;ASS1;MANF;IBTK;GCLC;CTH;GOLGB1;HYOU1;SERINC1
Topotecan_Cortical_neurons_300_nM_GSE43526_up	53/497	0.0000007164196383039256017130039407014852059774057124741375446319580078125	0.000006517915730303546945653518640551027374385739676654338836669921875	0.00000002105616217442396142608515194859231112189945633872412145137786865234375	0.00000019023657631198315411479959728680011465939969639293849468231201171875	-1.30072907251021	18.40401532781442	CDKN1A;RAB3A;NARF;PLEKHB2;PTPRN;FBXO25;VLDLR;MMP24;SESN3;PPME1;TUBB3;GPRASP1;PDK1;ARRDC4;TPI1;PEG3;PGAM1;ALG2;DUSP8;MTURN;EID1;TUBB2A;NOV;KIFC2;TXNIP;ULK1;CD47;ALDOA;FAM8A1;TSPYL4;NDRG4;RAB5B;STXBP1;AK1;ABR;LDHA;PGRMC1;PGK1;ATP6V0A1;LRRC75B;WFS1;IDH1;BNIP3;GFPT1;SLC4A8;PFKL;MORN4;STK25;KITL;CSDC2;TRIM35;SERINC1;DZIP1
Tbx1_P19Cl6_during_cardiomyocytes_differentiation_siRNA_GSE79941_up	53/496	0.0000006732257373189425749874744732414999504044317291118204593658447265625	0.0000063011991672801747417682893814827593814698047935962677001953125	0.00000001981256488298832469319304158510142155336097857798449695110321044921875	0.00000018411533509119866315151096969326971475311438553035259246826171875	-1.2945415540334861	18.39696970103478	PI4K2B;TRAM1;ABCD3;NARF;SRXN1;TXNDC11;SERP1;KIF5C;TUBB3;FTH1;OSBP;TRP53INP1;PDIA3;GPT2;ALG2;PDIA6;PDIA4;DNAJC3;UGDH;DNAJB11;FAR1;CRELD2;STK40;BEX2;RAB5B;NLGN2;DERL3;USO1;SEL1L;PIK3R3;MTMR4;HSP90B1;MAT2A;UBC;SARAF;ZFP260;SEC11A;RAB11FIP3;PEX19;SDF2L1;ATP8B2;HSPA5;IDH1;EDEM1;SURF4;GFPT1;SYVN1;MANF;NBR1;HYOU1;HBP1;CALR;GCLM
MITF_501_Melanocytes_knockdown_GSE61966_down	72/816	0.000009822591351949918071751431669635934440520941279828548431396484375	0.00006486899161871494579219288301175083688576705753803253173828125	0.0000000885953560861681997098274004252826951955057666054926812648773193359375	0.00000069856095920063533208778198957400462631994741968810558319091796875	-1.5935740223786732	18.375224109285032	NARF;TFRC;RAB3D;ITGB3;FBXO25;OTUD7B;MSMO1;ABCC10;ZFYVE26;SCRN1;CAPN5;SLC37A3;PDIA3;H2AFZ;PDE4D;WIPI1;KCNAB2;BPGM;FBXO10;PDIA6;PDIA4;SLC25A16;DNAJC3;EID1;TUBB2A;DNAJB11;CRELD1;SQSTM1;RHOQ;GAS7;AVPI1;PFKFB4;RAB5B;NRN1;SLC43A3;PIK3R3;NEDD4L;CLCN3;CLN8;MTMR4;HSP90B1;GGA2;HELZ2;RMND5A;STOM;ATP6V0A1;FANCI;PLK3;XBP1;SDF2L1;ATP8B2;HSPA5;GDF15;PNPLA8;MCAM;STAT2;MTHFR;CTNS;PARP14;TPCN2;MANF;NR4A3;GNPDA1;ACER3;TACC1;HYOU1;CALR;UBAP1L;LPIN1;GLA;PFKP;LRP12
Colorectal_Cancer_Colon_(Whole_tissue)_GSE74369_down	54/497	0.00000031137494413438103852963018298993791432849320699460804462432861328125	0.00000306893032059719532701996640156050233372297952882945537567138671875	0.0000000086783315631203888065300366418640398702422089627361856400966644287109375	0.0000000855341618456032269550299023015693666849301735055632889270782470703125	-1.2257835672563286	18.365017967069313	CLIC5;ABCD3;ALAS1;MIA3;MAGT1;GHITM;VSIG10;HERPUD1;GOLGA3;LGALS3;FAM162A;ANPEP;CHMP1B;NIPAL3;CHP1;APPL2;CAST;SMIM14;CPT1A;VWA5A;AMT;KRT8;BET1L;ALDH3A2;DNAJC3;UGDH;KCTD9;GPRC5A;TMX2;TMBIM1;TXNIP;TCTA;ALDOA;ATP6V0D1;SGK1;CHMP5;PRR13;RBM47;SLC26A2;SATB1;NEDD4L;HSD17B11;HIGD1A;S100A16;SLC17A5;TMEM50B;GFPT1;ASS1;GOLGB1;NBR1;PDCD4;TMCC3;SERINC1;MXD1
JAK2_HCT116_knockdown_GSE56788_up	53/498	0.0000007622022265141144930402218420073534588254915433935821056365966796875	0.00000661083397796575328829449258449812987237237393856048583984375	0.000000022373481496518027077136339555822608371471460486645810306072235107421875	0.00000019276754587397318740641847210903758735867086215876042842864990234375	-1.2980268750793276	18.285374588383128	CDKN1A;ALAS1;TFRC;AREG;PVR;MAP1LC3B;FTH1;SESN2;CHP1;CHAC1;IER3;ARRDC4;ATG13;EREG;VCAN;GPRC5A;TUBB2A;MTHFD2;SLC25A19;DDIT3;DDIT4;SIK3;PLIN3;TRIB3;ARHGEF2;ATF3;STK40;PPP1R15A;UAP1;UBR2;FOXO3;RMND5A;S100A16;DNAJB4;INPP5K;TLDC1;GPAT3;CD55;PLK3;HSPA5;GDF15;TXNRD1;STAT3;KLF4;PER1;PINK1;P4HA2;MKRN1;JMY;SERINC1;HBP1;SERINC3;RAB5A
PKC412_ZR751_1uM-6hrs_GSE63721_up	53/497	0.0000007164196383039256017130039407014852059774057124741375446319580078125	0.000006517915730303546945653518640551027374385739676654338836669921875	0.00000002105616217442396142608515194859231112189945633872412145137786865234375	0.00000019023657631198315411479959728680011465939969639293849468231201171875	-1.2880928019390372	18.225224738603192	CDKN1A;RAB3D;SLC2A1;MSMO1;ETS2;HK1;GYS1;EEF2K;CSRP1;RUSC1;CHMP1B;CHP1;SLC16A3;PDK2;IER3;SMIM14;CPT1A;GABARAPL1;DUSP1;TSC22D3;PGAM1;TMBIM1;SCNN1A;TXNIP;STK40;CHMP5;AVPI1;SEMA3B;CREM;SLC3A2;MTMR4;TOB1;GGA2;LDHA;PGK1;SARAF;DCAF11;ST3GAL1;TMEM120B;XBP1;HSPA5;SIAH2;SURF4;SMARCA2;ASS1;FOSL2;NR4A1;RCAN1;PFKL;ZDHHC9;CDK2AP2;HYOU1;PFKP
Albuterol_Airway_(Smooth_muscle)_GSE58434_down	65/712	0.0000091221972619077819409254270777154260940733365714550018310546875	0.0000605509114170511389169289373501925410891999490559101104736328125	0.000000124293703819149333099372219980927045668295249924995005130767822265625	0.000000885401734567113933563526663450549136769041069783270359039306640625	-1.5518715840930537	18.00915913414816	CDKN1A;TRAM1;CLIC4;CALCOCO1;SLC2A1;PLAT;HERPUD1;GOLGA3;CSRP1;TMEM43;ZMIZ1;FTH1;SLC16A3;APPL2;IER3;GABARAPL1;CHPF2;DUSP1;HEG1;PGAM1;ARID5B;FOS;PRSS12;GPRC5A;TMBIM1;PLIN3;TXNIP;ALDOA;SGK1;PCYOX1;ATF4;PPP1R15A;TNXB;SEL1L;GLRX;PTGS2;FOXO3;NDRG1;LDHA;MAT2A;S100A16;UBC;IGFBP6;ATP8B2;HSPA5;GDF15;LHFP;GADD45A;TXNRD1;STAT2;SURF4;PDE4DIP;PRSS35;KLF4;FOSL2;NR4A1;PIK3IP1;MAFF;TMEM119;PTX3;TACC1;HYOU1;CALR;PFKP;MXD4
Myelodysplastic_Syndrome_Granulocyte-Macrophage_Progenitor_Cell_GSE55689_up	52/497	0.0000016138043798826994014721132597589559054540586657822132110595703125	0.000013204776718411270717830167942263841496242093853652477264404296875	0.0000000502102811791596952542942049364793621890612485003657639026641845703125	0.000000405736495739669320831463812659922751890917425043880939483642578125	-1.3440648078040527	17.925679705714995	TRAM1;TFRC;AREG;HERPUD1;RASSF2;SERP1;FTH1;PDE4B;CHP1;TMED4;PDK1;PDIA3;H2AFZ;TSC22D3;PGAM1;ALG5;ARRDC3;CIRBP;PDIA6;EREG;PDIA4;EID1;DNAJB11;CD47;ATF4;PRR13;TMEM45A;KMT2E;MGST1;SLC3A2;HSP90B1;LDHA;RAB11FIP1;UBC;XBP1;HSPA5;EDEM1;TMEM50B;STAT3;SUCO;KLF4;SMARCA2;TMEM230;PER2;NR4A2;OSTC;PDCD4;SRPRB;HYOU1;CALR;MXD1;YPEL5
Vemurafenib_Colo800_48hr-0.1uM_GSE64741_down	51/498	0.00000376852929146643780939046446121221123348732362501323223114013671875	0.0000272380922677657535155119894465514107650960795581340789794921875	0.00000012454151992758020199935742149122130939531416515819728374481201171875	0.000000885401734567113933563526663450549136769041069783270359039306640625	-1.4295553253439492	17.853467345311635	SRXN1;TFRC;ITGB3;PLAT;PLOD2;SLC7A11;HK1;LGALS3;CSRP1;IER3;PDIA3;TPI1;H2AFZ;HEG1;PGAM1;PDIA6;MFSD12;PDIA4;TUBB2A;DDIT4;DNAJB11;TRIB3;ARHGEF2;ALDOA;SGK1;SQSTM1;SLC26A2;SLC43A3;NDRG1;HSP90B1;LDHA;ADGRG1;UBC;PGK1;FANCI;NQO1;HSPA5;GDF15;MCAM;EDEM1;TXNRD1;SURF4;NFATC2;VEGFA;RCAN1;P4HA1;MAFF;KLF9;HYOU1;CALR;PFKP
Dgcr8_Cone_photoreceptors_-_Post_natal_day_50_knockout_GSE58498_up	52/498	0.000001713094317063804860064150405174476787806270294822752475738525390625	0.00001384307892236031177902837174809036469014245085418224334716796875	0.0000000532544863732227651190770010246333665548945646150968968868255615234375	0.00000042505574706480257328133323842245250290261537884362041950225830078125	-1.34350274190651	17.837967073293694	TRAM1;CALCOCO1;NARF;TFRC;PTPRN;OTUD7B;VLDLR;GOLGA2;SESN3;SLC12A6;PDIA3;TPD52;BNIP3L;CPT1A;GABARAPL1;PEG3;HEG1;ARRDC3;FNDC3A;GPCPD1;EML1;PREPL;MADD;ARHGEF2;ALDOA;ATF4;KMT2E;CCDC186;HSPA4L;UAP1;CLCN3;HSP90B1;LDHA;UBC;PGK1;STOM;ATP6V0A1;NDFIP1;HSPA5;PLEKHA1;STAT3;PDE4DIP;PARVB;KLHL24;AHI1;SLC6A8;GOLGB1;NBR1;SERINC1;CALR;SERINC3;MDM1
GPR65_BMDMs_Knockout_GSE69445_up	52/497	0.0000016138043798826994014721132597589559054540586657822132110595703125	0.000013204776718411270717830167942263841496242093853652477264404296875	0.0000000502102811791596952542942049364793621890612485003657639026641845703125	0.000000405736495739669320831463812659922751890917425043880939483642578125	-1.3372178033569209	17.83436178119957	CDKN1A;CLIC4;CDKN1B;BTG1;ATP8A1;GOLT1B;MIA3;CSAD;LGALS3;RGS2;ZFYVE27;ZC3H7A;FTH1;ZMYM6;SLC12A6;PGPEP1;PCMTD1;BNIP3L;DUSP1;NSUN3;ARID5B;WIPI1;FOS;UGDH;IMPACT;TEP1;ACOT2;RELL1;CD47;SQSTM1;CHMP5;GAS7;KMT2E;CSF1R;TMF1;SEL1L;CREBL2;UBR2;CLN8;LDHA;FYN;SRPK2;UBE2H;EDEM1;STAT2;NEK7;CFLAR;GPR137B;GID4;TACC1;SERINC3;NFE2L2
Salmonella_HT-29_cells_(shCTRL)_0.5hrs_GSE62520_down	54/492	0.000000225053404896006016630498444870689400687524539534933865070343017578125	0.0000023237657124579668042820175533069715356759843416512012481689453125	0.00000000633026521725836621729499058470504169182646592162200249731540679931640625	0.00000006536250037819948350016597236888937771936980425380170345306396484375	-1.1603888468808723	17.761988656313417	BTG1;TFRC;SLC2A1;HK1;GYS1;ALKBH5;TUBB3;FAM162A;SLC16A3;PDK1;TPD52;BNIP3L;KHNYN;ARRDC1;DUSP1;PGAM1;ARRDC3;KCNAB2;DDX50;KIFC2;DDIT3;DDIT4;ALDOA;SQSTM1;KDM3A;PFKFB4;NLGN2;NRN1;INSIG2;FOXO3;NDRG1;HSP90B1;LDHA;PGK1;IGFBP6;ANKZF1;RAB11FIP5;EGLN1;PLEKHA2;ASS1;PNRC1;WDR54;FOSL2;PFKL;GNPDA1;P4HA1;STK25;P4HA2;CCNG2;GOLGB1;RAB13;CAPRIN2;CALR;PFKP
PRMT4_CD34+_knockdown_GSE46056_up	53/497	0.0000007164196383039256017130039407014852059774057124741375446319580078125	0.000006517915730303546945653518640551027374385739676654338836669921875	0.00000002105616217442396142608515194859231112189945633872412145137786865234375	0.00000019023657631198315411479959728680011465939969639293849468231201171875	-1.2433492237260406	17.592147861445294	BTG1;SLC7A11;LIPA;LGALS3;RASSF2;CNST;SESN3;ZMIZ1;ANPEP;FTH1;CREB3L2;LGALS8;SLC16A3;DUSP1;TSC22D3;TRAFD1;FOS;NPC1;RRM2B;DDIT4;PLIN3;ALDOA;SQSTM1;GAS7;PRR13;PPP1R15A;KDM3A;PFKFB4;AK4;ADD3;NDRG1;PTGS1;LDHA;UBC;PGK1;HMOX1;EGLN1;IDH1;BNIP3;TXNRD1;MTHFR;KLHL24;PNRC1;PIK3IP1;GOLGB1;MKRN1;NBR1;PDCD4;TACC1;SERINC1;HBP1;YPEL3;LRP12
LPS_BMDM_10_ng-ml_3_hrs_GSE78209_down	57/608	0.000015102026142913538332983487688654378189312410540878772735595703125	0.00009873234176849504488415742997631241451017558574676513671875	0.00000034187741222082331279586331525266462705303638358600437641143798828125	0.000002246376329794399378560199043164402610273100435733795166015625	-1.5618866039058144	17.33800595007432	SLC48A1;SLC35F6;SLC27A1;CERK;ZFAND2A;MSMO1;LIPA;LGALS3;ZMIZ1;ANPEP;FTH1;ABCD1;PDIA3;TPD52;SLC36A1;TPI1;PGAM1;KCNAB2;MFSD11;MFSD12;POR;NPC1;G6PDX;TXNIP;ALDOA;ATP6V0D1;RAB7B;ATF4;KMT2E;CSF1R;ZFP703;GLRX;SLC3A2;CLN8;HSP90B1;LDHA;MNT;MAT2A;UBC;ESD;PGK1;HMOX1;STX2;RAB11FIP5;ATP6V0A1;TMEM86A;XBP1;HSPA5;NFATC2;GPR137B;SLC6A8;GNPDA1;ZDHHC9;PMP22;CALR;SERINC3;NFE2L2
GATA2_Ch-CRPC_(DU145-DR_culture(AR+))_Knockdown_GSE58966_up	53/496	0.0000006732257373189425749874744732414999504044317291118204593658447265625	0.0000063011991672801747417682893814827593814698047935962677001953125	0.00000001981256488298832469319304158510142155336097857798449695110321044921875	0.00000018411533509119866315151096969326971475311438553035259246826171875	-1.2150614152919934	17.267462734104726	TRAM1;CERK;TFRC;SLC7A11;GHITM;CHD2;HK1;SCRN1;SESN3;TUBB3;FTH1;SEC62;SLC16A3;PDIA3;ARHGEF10;CPT1A;STARD3NL;H2AFZ;HEG1;OSMR;PDIA6;PDIA4;KCTD9;KATNAL1;DNAJB11;ARHGEF2;TRIM16;SQSTM1;ATF4;KDM3A;SEL1L;UAP1;SLC3A2;HSP90B1;LDHA;PGRMC1;RMND5A;MAT2A;PGK1;SEC23B;NQO1;HSPA5;GADD45A;MCAM;BNIP3;TXNRD1;GFPT1;TVP23B;TMCO3;MANF;HYOU1;GCLM;PFKP
Silvestrol_MDA-MB-231_25nM-2hr_GSE61375_up	54/494	0.00000025645280110216767775681658871056445292424541548825800418853759765625	0.0000026271267262513396385618935635619664026307873427867889404296875	0.00000000718599933710178304827651568523032288293705960313673131167888641357421875	0.000000073614056201334018650982268967830624006865036790259182453155517578125	-1.1350911980251184	17.22650861316371	TRAM1;BTG1;TFRC;MSMO1;SLC7A11;CHD2;TMEM263;HERPUD1;GOLGA3;MAP1LC3B;ZMIZ1;FTH1;CREB3L2;CYP1B1;SEC62;IER3;PDIA3;IKBIP;CAST;DUSP1;ZBTB38;GTPBP2;PDIA6;PDIA4;GPRC5A;TRIB3;ATF3;ATF4;PPP1R15A;SLC3A2;HSP90B1;BLOC1S6;DNAJB9;CD55;HSPA5;GADD45A;TXNRD1;YIPF4;SURF4;GFPT1;FOSL2;MANF;VEGFA;PDP1;RCAN1;SPCS2;GOLGB1;SPRY2;SNAI2;HYOU1;LPIN1;SERINC3;NUCB2;NFE2L2
Asthma_Tracheal-bronchial_GSE61141_down	51/498	0.00000376852929146643780939046446121221123348732362501323223114013671875	0.0000272380922677657535155119894465514107650960795581340789794921875	0.00000012454151992758020199935742149122130939531416515819728374481201171875	0.000000885401734567113933563526663450549136769041069783270359039306640625	-1.3750882130581756	17.173237071360177	SLC2A1;PLOD2;ETS2;CHP1;ARRDC4;CAST;TPI1;PGAM1;VWA5A;KRT8;ALDH3A1;GPRC5A;TMBIM1;SCNN1A;TXNIP;TMEM106B;TRIM16;PRR13;KDM3A;RAB5B;SATB1;AK4;ADD3;NDRG1;HSP90B1;LDHA;RAB11FIP1;MAT2A;CLMN;MYO6;UBC;PGK1;BBS1;UBE2H;GDF15;CFLAR;PTPN13;PARP14;ASS1;FOSL2;TMEM231;TTC9;GCLC;SLC6A8;RCAN3;SERINC3;MXD1;NUCB2;PFKP;DNAL1;NFE2L2
Lapatinib_HCC1419_1uM-9d_GSE62074_up	53/497	0.0000007164196383039256017130039407014852059774057124741375446319580078125	0.000006517915730303546945653518640551027374385739676654338836669921875	0.00000002105616217442396142608515194859231112189945633872412145137786865234375	0.00000019023657631198315411479959728680011465939969639293849468231201171875	-1.2110359700651383	17.134947643325212	TRAM1;CALCOCO1;PLEKHB2;ATP8A1;RAB3D;ARHGAP39;CHD2;CSAD;HID1;PCMTD2;MAF1;PDK2;PCMTD1;TPD52;ARRDC1;DUSP1;CIRBP;KRT8;RBL2;TOM1L2;DOPEY2;GPRC5A;RRM2B;KIFC2;KAT6B;CRY2;SCNN1A;TMEM106B;SQSTM1;RBM47;SEL1L;PIK3R3;FOXO3;BLOC1S6;RAB11FIP1;MAT2A;ERBB3;MYO6;STOM;SARAF;FNIP1;MFAP3L;MBOAT2;CFLAR;KLHL24;FBXO32;FOSL2;PDP1;RNF103;GOLGB1;PDCD4;SEC24D;SSBP2
C9orf72_Spinal_cord_Knockout_GSE77681_up	51/499	0.0000039905683154978663861565946202603072379133664071559906005859375	0.00002868358772631339018177078215021680307472706772387027740478515625	0.000000131827369038752440578014563273001602539125087787397205829620361328125	0.0000009321054734750919817181063868616330836402994464151561260223388671875	-1.3718078531171045	17.053734821126877	CDKN1B;SLC2A1;PLAT;SLC2A4;GHITM;LIPE;SEC62;APPL2;HEG1;PGAM1;ARID5B;FOS;EML1;PDIA6;PDIA4;RBL2;DNAJC3;LMBRD1;PREPL;HOXB9;TMX2;DDIT4;TXNIP;SGK1;SLC41A1;SLC3A2;MTMR4;HSP90B1;LDHA;ADGRG1;MAT2A;DNAJB4;UBC;SASH1;MFAP3L;MON2;XBP1;HSPA5;PLEKHA1;STAT3;MT2;MANF;VEGFA;PER1;P4HA1;PMP22;RAB18;ASB7;CALR;LPIN1;FGFR3
Lapatinib_HCC1419_1uM-70d_GSE62074_down	52/497	0.0000016138043798826994014721132597589559054540586657822132110595703125	0.000013204776718411270717830167942263841496242093853652477264404296875	0.0000000502102811791596952542942049364793621890612485003657639026641845703125	0.000000405736495739669320831463812659922751890917425043880939483642578125	-1.2780969829753084	17.045872354241524	CLIC4;TFRC;RAB3D;MIA3;SLC7A11;GHITM;TMEM263;GOLGA2;SERP1;SCRN1;SEC62;LGALS8;CAST;SMIM14;TPI1;ARRDC1;H2AFZ;KRT8;UGDH;MTHFD2;TXNIP;SEC22B;ALDOA;CRELD2;SQSTM1;ATF4;DERL1;SLC3A2;CLCN3;HIGD1A;HSP90B1;LDHA;PGRMC1;RAB11FIP1;S100A16;UBC;PGK1;MAL2;SARAF;ST3GAL1;XBP1;IDH1;SURF4;GFPT1;MBOAT2;RAB27B;PDP1;KRT18;GOLGB1;CALR;SERINC3;NUCB2
