GENE	EVC-A-1	EVC-B-2	RA72Q-A-3	RA72Q-C-2	WT-1-1	WT-2-2
ABCA6	0.318312	0.401214	0.48189	0.449715	0.352031	0.36751
ABCA7	7.70894	8.05191	7.85515	8.54907	8.95669	8.80517
ABCA8	5.88725	6.23716	5.31266	4.76654	5.60581	5.68141
ABCA9	0.736913	0.88463	1.26291	0.987673	0.96472	0.907071
ABCB1	82.2244	82.696	77.8609	73.8467	75.7929	75.7994
ABCB10	8.78019	9.1267	9.32637	9.04657	9.29224	9.4041
ABCB11	0.0559875	0.0893876	0.0185106	0.0494781	0.0428913	0.0366621
ABCB4	15.9398	16.0479	13.8931	13.2551	14.6506	14.0637
ABCB5	0.555145	0.592147	0.498319	0.512253	0.34474	0.410126
ABCB6	4.29425	4.36528	4.29938	4.79171	4.64769	4.66458
ABCB7	12.3908	12.5183	11.242	11.3299	11.1888	11.0632
ABCB8	10.2149	10.4116	10.3584	10.8436	10.6929	10.2392
ABCB9	6.45163	6.21768	7.04793	7.63428	7.65373	6.69264
ABCC1	21.0267	21.3417	17.6975	18.4239	18.3189	17.9651
ABCC10	7.79768	7.08425	5.74084	6.34056	6.69494	6.43273
ABCC11	0.0601	0.0511748	0.0774125	0.0331942	0.0460413	0.0459137
ABCC12	0	0.0164623	0	0.00569518	0.0056423	0
ABCC13	0	0	0.0107638	0.0107892	0	0
ABCC2	0.1408	0.134877	0.20948	0.163314	0.196468	0.236261
ABCC3	0.395419	0.362317	0.45572	0.336151	0.41905	0.422386
ABCC4	4.47427	4.57607	4.07269	3.83137	3.81166	3.6913
ABCC5	25.2148	25.6792	23.1295	21.8146	24.4054	23.6826
ABCC5-AS1	0	0.102557	0	0	0.210902	0.315476
ABCC6	0.44994	0.761074	0.715086	1.05461	0.703926	0.714556
ABCC6P1	0.0789783	0.0756563	0.0335724	0.0785204	0.0666782	0.0664934
ABCC6P2	0.226321	0.487802	0.224478	0.843781	0.613027	0.833628
ABCC8	0	0	0	0	0	0
ABCC9	3.21144	3.25081	3.47708	2.94213	2.91136	2.82073
ABCD1	49.3571	46.4466	47.1132	53.2868	49.6432	48.7388
ABCD2	9.1059	9.56601	8.55412	7.68826	8.31476	8.01441
ABCD3	33.5784	33.3329	33.7183	33.045	33.7654	34.4518
ABCD4	3.84556	3.65885	3.8049	4.43033	4.14521	4.5484
ABCE1	61.3449	60.207	53.6024	49.5599	48.2933	48.6332
ABCF1	50.6402	48.6437	46.2658	44.051	43.8568	45.0374
ABCF2	52.5475	49.7896	50.3287	46.6797	47.9008	45.5797
ABCF3	32.0577	29.9272	28.4504	29.7829	29.0688	28.7641
ABCG1	0.502946	0.47193	0.18188	0.564374	0.404316	0.431388
ABCG2	1.00905	0.985945	0.820694	0.735689	0.82824	0.858982
ABCG4	0.0333819	0.0159882	0.0388366	0.0165936	0.0328802	0.0384598
ABCG5	0	0	0.0222404	0.0111464	0.0220859	0.0110123
ABCG8	0	0	0.022918	0	0	0
ABHD1	0.984111	0.72348	0.7037	0.682608	0.87915	0.764313
ABHD10	36.524	35.8007	34.1173	32.4153	33.2445	33.772
ABHD11	13.0749	11.549	9.59578	10.0678	11.3676	10.6139
ABHD12	25.1526	24.3218	27.098	28.2876	28.2759	29.1501
ABHD12B	0.0223281	0.0641688	0.0442938	0.0443984	0.0659797	0.0556968
ABHD13	9.71103	10.1949	11.2198	9.76563	10.3068	10.6453
ABHD14A	14.1137	12.5133	14.0922	14.1461	14.5742	15.4347
ABHD14A-ACY1	1.11025	3.34519	2.55122	3.74531	2.84636	1.34959
ABHD14B	11.8476	12.4151	15.0313	15.796	15.6854	15.5602
ABHD15	5.98271	5.94716	5.27169	6.2351	6.4794	5.8144
ABHD16A	21.6516	22.1539	22.5963	24.5788	25.4519	24.2409
ABHD16B	3.65294	2.78904	2.81606	3.32612	3.13492	3.37491
ABHD2	60.9741	59.4742	63.4721	61.0345	60.0662	59.3505
ABHD3	9.70582	9.5172	10.1877	9.20886	10.2374	9.39831
ABHD4	35.8077	34.5969	37.1189	39.6469	39.5339	39.812
ABHD5	10.3328	10.6494	11.6236	11.0471	11.3307	11.7766
ABHD6	8.84495	9.45582	9.88084	9.71048	10.6565	10.2953
ABHD8	15.1947	14.7433	12.5741	15.0916	13.9121	14.4658
ABI1	12.5929	12.863	13.4871	12.8927	13.5622	13.2603
ABI2	12.8318	13.5551	12.8891	12.2438	12.5943	13.1246
ABI3	0	0.0144144	0.0747014	0.0149609	0.0148194	0.0591781
ABI3BP	0.0599476	0.102091	0.0660663	0.00662223	0.0393644	0.0981381
ABL1	36.634	38.0203	33.1436	35.2322	35.214	34.9989
ABL2	3.81103	4.38204	4.18414	4.27743	3.71314	3.87142
ABLIM1	5.71838	6.10011	4.51384	4.79318	4.75815	4.78658
ABLIM2	7.67767	7.79742	8.96663	8.09681	8.33743	8.26052
ABLIM3	6.36708	5.8487	6.2538	6.10433	5.89848	5.27363
ABO	0.103368	0.0594121	0.123032	0.0822149	0.101814	0.101532
ABP1	0.0636853	0.0732085	0.0378981	0.0886443	0.0627279	0.0875775
ABR	24.2848	23.8366	20.1112	20.8406	21.0999	21.7574
ABRA	0	0	0.0110592	0	0.0109823	0.0109519
ABRACL	31.6466	33.9245	36.8404	34.5478	40.7318	36.5265
ABT1	12.3029	11.8119	10.4223	10.543	11.2203	11.2977
ABTB1	1.65152	1.70628	1.98262	2.15271	2.60349	2.52138
ABTB2	2.06353	2.09267	1.9627	1.94327	1.93119	1.8129
ACAA1	25.5637	26.1297	25.4067	27.7195	29.6345	26.7998
ACAA2	70.3821	68.8384	70.7057	68.8957	71.9625	69.4548
ACACA	18.6844	19.6224	14.7302	15.4067	15.7558	15.7137
ACACB	5.45797	5.5627	5.85948	5.89206	6.22754	6.03733
ACAD10	4.37049	4.75554	4.22327	4.09558	4.2891	4.11947
ACAD11	3.91151	3.72091	4.05832	3.73142	4.34069	4.01562
ACAD8	18.778	18.9973	17.7779	16.4328	17.8086	16.6545
ACAD9	15.5985	16.9307	14.9199	14.9843	15.6022	15.7189
ACADL	0.186558	0.0714845	0.0986878	0.0247302	0.0735016	0.0732979
ACADM	97.7989	98.9454	99.0181	91.4936	96.9324	98.3402
ACADS	4.4809	4.51499	4.52673	5.3459	5.5578	5.80321
ACADSB	9.031	9.22566	8.02831	8.08669	8.27035	8.2961
ACADVL	108.641	108.724	125.113	125.927	131.234	130.036
ACAN	0.190968	0.243297	0.135392	0.16645	0.188441	0.16562
ACAP1	0.579983	0.555588	0.477346	0.637963	0.777894	0.727254
ACAP2	14.9981	14.6214	17.2568	15.7675	15.7296	16.1351
ACAP3	7.17456	6.88811	6.37043	6.84669	7.32671	6.73288
ACAT1	60.2333	60.1974	64.7983	63.8822	64.4787	66.7741
ACAT2	94.3099	96.0034	84.2069	82.2241	93.3289	89.0903
ACBD3	25.9214	25.0094	26.9859	24.93	24.7735	26.6077
ACBD4	6.73895	5.82376	4.96642	5.73686	6.46565	5.03285
ACBD5	15.6488	15.5236	17.534	16.9754	18.0318	17.6778
ACBD6	36.9022	36.3142	34.7847	37.6489	35.0189	38.3033
ACBD7	4.53538	4.73175	6.51163	6.0627	5.74987	5.86625
ACCS	3.62152	3.85794	3.86287	3.80424	3.85052	4.01851
ACCSL	0	0.0337035	0.034897	0	0	0
ACD	15.4332	14.433	14.0571	14.5318	15.7642	14.8431
ACE	0.0650252	0.0278075	0.0383961	0.0646582	0.0235122	0.029308
ACE2	0.507902	0.4618	0.631845	0.48784	0.568101	0.591893
ACER1	0	0	0	0	0	0
ACER2	0.773091	0.802287	0.915897	1.13156	1.23739	1.12849
ACER3	6.86575	6.64859	7.49759	6.6367	7.10403	7.4716
ACHE	0.366396	0.435663	0.920569	0.867379	0.702906	0.895799
ACIN1	89.0357	91.1148	77.7281	78.0765	78.4127	78.8241
ACLY	111.115	114.775	100.836	105.048	109.387	108.75
ACMSD	0.0271721	0.0520584	0.0808528	0.0270146	0.0535274	0.053379
ACN9	16.8767	16.0787	16.7546	15.6349	16.8648	15.4317
ACO1	25.594	25.951	29.0459	29.3427	29.9078	29.7079
ACO2	21.383	21.6323	20.7643	22.5181	22.585	22.038
ACOT1	0.0812764	0.136251	0.0201537	0.0808051	0.0400274	0.0598746
ACOT11	0.0156979	0.0300755	0.0155702	0.0313119	0.0188149	0.0154191
ACOT12	0.0477914	0.0305143	0.0315942	0.0475032	0.0470621	0.0469316
ACOT13	10.805	10.6026	10.4172	10.2897	9.64853	10.0509
ACOT2	0.733695	0.523535	0.582882	0.484509	0.497788	0.535917
ACOT4	0	0	0	0.0197912	0.0196074	0
ACOT6	0	0	0	0	0	0.03489
ACOT7	26.4478	25.0953	22.7844	25.125	26.1881	25.3081
ACOT8	28.0385	26.8592	26.2654	28.928	30.512	28.2623
ACOT9	17.717	17.7861	16.3205	15.7141	16.6324	14.7494
ACOX1	9.85433	9.58191	9.9602	9.78502	10.0683	9.76425
ACOX2	1.10752	1.28088	0.710008	0.751968	0.758288	0.822518
ACOX3	6.33558	5.9728	5.84978	6.22945	5.64307	5.42945
ACOXL	0.0393237	0.0627828	0.130012	0.0521276	0.116198	0.0901256
ACP1	96.6429	92.063	86.0997	82.6555	80.9461	82.0246
ACP2	32.2314	32.7522	35.3583	36.4666	35.0777	36.8677
ACP5	0.895275	0.879057	1.37638	1.49089	1.2125	1.24885
ACP6	8.32993	8.52284	8.59612	8.12304	8.95537	8.73904
ACPL2	44.4824	42.9609	50.7494	49.3481	57.9549	54.7499
ACPP	5.66956	5.2273	3.51536	3.51361	4.50058	3.97869
ACPT	0.124337	0.333501	0.345311	0.0988931	0.146962	0.268684
ACR	0.0731316	0.116759	0.0725364	0.0242359	0.0960432	0.0718327
ACRBP	0.10141	0.129526	0.100585	0.134429	0.216419	0.149413
ACRC	2.10342	2.22551	6.39141	4.89517	4.16228	3.54973
ACRV1	0.211434	0.224306	0.296107	0.2162	0.245399	0.103895
ACSBG1	0.98327	1.3946	0.92846	0.887328	0.968502	0.947908
ACSBG2	0.102029	0.130317	0.101199	0.112709	0.0669972	0.144758
ACSF2	6.98538	7.25365	7.9678	7.41713	8.49039	8.28846
ACSF3	7.76463	7.92993	7.28267	8.29769	7.84659	7.64607
ACSL1	5.38524	5.36295	6.13243	5.49532	5.60762	5.57656
ACSL3	13.8648	13.8402	13.666	13.3323	13.5834	14.3224
ACSL4	19.8842	20.5154	21.8506	20.4051	21.7451	21.2378
ACSL5	0.160532	0.147014	0.0984855	0.131436	0.102312	0.13913
ACSL6	0.401168	0.488856	0.300745	0.316909	0.323446	0.348616
ACSM1	0.0307846	0	0.061068	0	0.106127	0
ACSM2A	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0
ACSM3	5.50902	5.65558	5.46966	4.70765	4.93906	5.41029
ACSM4	0.0923574	0.0353891	0.146569	0.0734575	0.0363877	0.090717
ACSM5	0	0	0.0127313	0.0127613	0.0252857	0
ACSS1	4.14203	4.11702	2.93412	3.16253	3.67452	3.34222
ACSS2	36.3224	36.2668	35.997	37.7111	42.2657	40.9408
ACSS3	5.72881	6.49876	7.2373	7.18444	6.62275	7.37441
ACTA1	0.264832	0.211411	0.153228	0.131648	0.195639	0.195096
ACTA2	37.1027	31.238	18.5261	22.987	22.2798	18.8067
ACTB	1492.48	1433.39	1179.16	1228.26	1223.99	1192.1
ACTBL2	0	0	0	0	0	0
ACTC1	0.0162993	0.00780688	0.00808334	0.00810242	0.0160544	0.0240148
ACTG1	1035.87	997.255	821.649	844.147	855.741	833.635
ACTG1P4	0.239707	0.107158	0.269456	0.158878	0.188883	0.235449
ACTG2	1.63933	1.33555	0.425261	0.650748	0.820179	0.5035
ACTL10	0.0623453	0.149307	0.0309189	0.0929757	0.0767603	0.0918569
ACTL6A	55.2609	56.7997	57.1771	56.0044	57.9996	55.0973
ACTL6B	0.021421	0.02052	0.0212467	0	0	0
ACTL7A	0.0462565	0.0886217	0.1147	0.0689825	0.0683419	0.0454349
ACTL7B	0.0945114	0.135804	0.21092	0.0234909	0.116364	0.0232082
ACTL8	0.120096	0.0821747	0.0340339	0.0682284	0.0506961	0.0337037
ACTL9	0	0	0	0	0	0
ACTN1	18.6789	17.8399	24.695	25.3071	27.1962	26.1961
ACTN1-AS1	0	0.0688586	0	0.0714653	0	0
ACTN2	7.58886	7.01768	6.62697	6.49878	6.89832	6.56914
ACTN3	0	0	0.0103132	0.0196171	0.0204849	0.00969053
ACTN4	424.471	399.746	386.548	412.202	397.373	390.924
ACTR10	39.6284	39.8974	34.15	34.3443	34.9142	32.8325
ACTR1A	73.5796	72.9441	69.8848	72.6023	74.7926	73.4342
ACTR1B	36.9293	36.2378	39.4019	42.5912	45.0315	43.9685
ACTR2	103.123	100.287	101.395	95.6363	96.7369	97.2424
ACTR3	144.077	141.274	131.008	129.322	126.022	127.12
ACTR3B	12.6655	12.316	12.0193	11.629	11.2939	11.3207
ACTR3BP2	0	0	0	0	0	0
ACTR3BP5	0	0	0	0.0196128	0	0
ACTR3C	0.140007	0.134117	0.055544	0.10495	0.0551571	0.0777652
ACTR5	3.77419	3.31615	2.8138	2.77075	2.79425	2.78651
ACTR6	29.269	28.7559	29.332	27.5387	28.3275	29.5079
ACTR8	14.1423	13.985	14.5379	14.3741	14.4614	13.9809
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	0.11062	0.0605526	0.0626968	0.0785561	0.155653	0.0620886
ACVR1	17.2947	16.8949	17.737	17.0151	16.6663	16.2649
ACVR1B	15.319	14.9641	14.0771	14.852	14.4468	14.5283
ACVR1C	0.11476	0.140071	0.184626	0.127553	0.167354	0.119213
ACVR2A	4.14125	4.30215	3.98442	3.67971	3.95674	3.84602
ACVR2B	2.94843	3.13173	2.85624	3.04777	3.02699	2.96608
ACVR2B-AS1	2.27403	2.42566	1.81661	1.93089	1.8161	1.91973
ACVRL1	0.935258	0.95148	0.553711	0.612681	0.549863	0.555461
ACY1	7.8831	5.06811	5.89637	5.37738	5.72035	7.89217
ACY3	0.0518665	0	0.0514443	0.0257829	0	0
ACYP1	19.2851	20.0666	22.4559	22.2055	23.992	22.9634
ACYP2	18.4266	19.898	20.1596	21.0122	22.082	22.487
ADA	1.58396	1.66087	1.29507	1.59606	1.34932	0.967138
ADAD1	0	0	0	0	0	0
ADAD2	0.148923	0.155629	0.121674	0.107832	0.0933448	0.172874
ADAL	11.4231	9.87511	11.6829	11.2386	10.5244	11.0485
ADAM10	42.6633	41.3809	47.7703	46.7364	45.2117	46.9543
ADAM11	1.15149	1.21336	1.67287	1.69029	1.57452	1.47701
ADAM12	0.009664	0	0.00958534	0.00480398	0.0142781	0.00949236
ADAM15	33.9404	32.468	32.4321	36.0363	34.9109	34.4766
ADAM17	25.6662	25.9123	27.1752	25.6608	26.7355	27.2284
ADAM18	0	0	0.0226998	0.0227534	0.0225423	0
ADAM19	0.366952	0.295101	0.826785	0.824233	0.767495	0.832114
ADAM1A	1.46693	1.65321	1.30521	1.36191	1.17928	1.35612
ADAM2	0	0	0	0	0	0
ADAM20	0.0109862	0.0420965	0	0.0218451	0	0.0107911
ADAM20P1	0.0200798	0.0192352	0.0199164	0.0499084	0.089001	0.0394463
ADAM21	0.242712	0.254647	0.286591	0.149379	0.250448	0.249754
ADAM21P1	0	0	0.0305671	0	0	0
ADAM22	7.66145	7.53663	8.41023	7.54256	8.65875	8.84877
ADAM23	4.9553	4.93828	4.52851	4.84711	4.30024	4.81822
ADAM28	0.21586	0.197174	0.196366	0.137424	0.166959	0.138901
ADAM29	0	0.00928011	0.00960883	0	0	0
ADAM30	0	0.00976935	0	0	0	0
ADAM32	0.462038	0.421013	0.570052	0.571397	0.399594	0.542384
ADAM33	0	0	0	0	0	0
ADAM3A	0.0127982	0	0.012694	0.012724	0	0
ADAM5	0.0378778	0	0	0.0376582	0.0186543	0.0186025
ADAM6	0	0	0	0	0	0
ADAM7	0.0178156	0.0341325	0	0.0265685	0.0175478	0.0174992
ADAM8	2.52479	2.83235	2.43056	2.4748	3.07224	2.54308
ADAM9	100.157	98.6426	118.254	111.48	108.72	110.927
ADAMDEC1	0	0	0	0	0	0
ADAMTS1	0.492359	0.545153	0.748383	0.79465	0.724289	0.640632
ADAMTS10	0	0	0	0	0	0.00692533
ADAMTS12	0.0299322	0.0229386	0.0475017	0.0595173	0.0707575	0.0235205
ADAMTS13	0.548326	0.627773	0.699025	0.689626	0.756651	0.772756
ADAMTS14	0.140623	0.0862358	0.133897	0.128619	0.0997125	0.1879
ADAMTS15	0.181883	0.15432	0.144322	0.196328	0.199623	0.158235
ADAMTS16	0.0655748	0.0456848	0.0886923	0.0414874	0.0469739	0.0526992
ADAMTS17	0.027847	0.00889191	0.0368271	0.0553711	0.0365713	0.0227937
ADAMTS18	0.0298857	0.0143143	0.0345828	0.0148562	0.00490608	0.0391398
ADAMTS19	0.180452	0.128252	0.0692837	0.0868091	0.143338	0.137223
ADAMTS2	0.0308514	0.0295537	0	0.015353	0.0151938	0.0151517
ADAMTS20	0.468021	0.512383	0.520325	0.475534	0.430592	0.586002
ADAMTS3	5.60321	5.96877	6.9332	6.83383	6.94486	7.11453
ADAMTS4	0.158432	0.217753	0.177639	0.225997	0.196759	0.236809
ADAMTS5	0.0120256	0.00287994	0.0238554	0.00597793	0.00592242	0.005906
ADAMTS6	1.40896	1.4114	1.07807	1.0686	1.09833	1.08342
ADAMTS7	1.14045	1.06156	1.02445	0.887817	1.04913	0.95111
ADAMTS8	0.0411017	0	0.00815343	0	0.00809679	0.024223
ADAMTS9	2.82048	2.71718	1.49598	1.80578	1.71808	1.76833
ADAMTS9-AS2	0.0280933	0	0	0.0139652	0.0138355	0.0137972
ADAMTSL1	2.57601	2.69628	2.59986	2.63177	2.80896	2.62571
ADAMTSL2	0.0294355	0.0563948	0.0510929	0.0365811	0.0144965	0.0505972
ADAMTSL3	0	0	0.00395532	0	0	0.00391695
ADAMTSL4	0.136892	0.122666	0.106077	0.0990191	0.0910933	0.0698773
ADAMTSL5	2.16486	1.77608	1.93464	2.14165	2.0901	1.90535
ADAP1	0.295316	0.282894	0.332854	0.54717	0.423094	0.566956
ADAP2	0.0223436	0	0.0332426	0.0555352	0.0330117	0.0109734
ADAR	98.6908	98.1631	94.33	96.0845	97.1482	96.3288
ADARB1	2.96061	3.14678	3.47354	3.24671	3.0423	3.41483
ADARB2	0	0.00331319	0	0.00687724	0	0
ADARB2-AS1	0	0	0	0	0	0
ADAT1	9.59735	9.61197	9.33522	9.90364	10.1141	10.1105
ADAT2	2.26589	2.79203	2.378	2.32286	2.4263	2.21641
ADAT3	3.55833	3.06396	2.22072	2.62346	2.50065	2.31699
ADC	1.65292	1.59716	1.73926	1.74337	1.93953	1.39768
ADCK1	1.38654	1.8246	1.57558	1.65971	1.73813	1.92772
ADCK2	26.9436	27.1217	22.5205	25.8976	25.7089	26.4522
ADCK3	16.8819	16.7226	18.3516	19.1328	20.376	20.7096
ADCK4	10.7341	11.7941	10.4244	11.3357	11.7482	12.302
ADCK5	1.45624	1.54999	1.47649	1.64084	1.72122	1.52574
ADCY1	0.2637	0.25704	0.275319	0.338062	0.264293	0.284009
ADCY10	0.0718005	0.0469994	0.10148	0.0831137	0.0966373	0.0879789
ADCY10P1	0.569214	0.50733	0.648305	0.583717	0.708331	0.635228
ADCY2	0.0358312	0.0343241	0.0310971	0.0267176	0.0308811	0.0351948
ADCY3	7.28513	7.64799	6.43193	7.04058	6.66786	6.60273
ADCY4	0.008849	0	0.00877697	0.00879769	0.00871599	0.00869183
ADCY5	0.636092	0.686506	0.664959	0.574929	0.649264	0.556675
ADCY6	19.274	18.5438	21.7846	22.2343	23.0579	22.249
ADCY7	0.594221	0.573817	0.518088	0.557425	0.453128	0.522476
ADCY8	0.124042	0.188721	0.144744	0.145085	0.143738	0.136173
ADCY9	6.30505	5.93484	6.67365	7.29445	6.88046	7.33292
ADCYAP1	0.295485	0.474804	0.63343	0.538032	0.513895	0.608562
ADCYAP1R1	0.00456485	0	0.00452764	0	0	0
ADD1	50.207	47.5452	48.2392	49.634	50.4333	50.137
ADD2	3.10746	3.17362	4.0493	3.89964	3.74665	3.93045
ADD3	43.4785	43.2035	45.8113	44.554	46.1867	47.7748
ADGB	0.0055921	0	0.00554659	0.016679	0	0.00549278
ADH1A	0	0	0	0	0	0
ADH1B	0.0114738	0	0	0	0	0
ADH1C	0.0671988	0.0429149	0.0444345	0	0.0441258	0.0220018
ADH4	0	0	0	0	0	0
ADH5	49.0769	48.0623	46.654	44.4231	45.6525	44.7015
ADH6	0.0712981	0.0227663	0.0236974	0.0236282	0	0
ADH7	0	0	0	0	0.0147523	0
ADHFE1	0.605223	0.595871	1.03384	1.053	1.10946	0.990789
ADI1	123.229	118.027	140.404	135.57	136.48	137.145
ADIG	0	0	0	0	0	0
ADIPOQ	0.0259983	0.0186769	0.0128904	0.0129208	0.0128008	0.0255365
ADIPOQ-AS1	0.0175626	0.0252358	0.00870981	0.0349215	0.0086493	0.00862532
ADIPOR1	63.2684	60.892	63.5922	66.6723	64.9734	66.9718
ADIPOR2	40.1078	40.0503	39.3389	39.1837	40.9124	39.4623
ADIRF	0.060685	0.0581325	0	0.0603332	0.0597729	0
ADK	35.4014	36.1931	32.0744	30.7786	31.7503	30.0735
ADM	0.114156	0.0656125	0.0226453	0.0907952	0.022488	0.15698
ADM2	0.0222831	0.0426926	0.0221017	0.0555822	0.0438974	0.0364796
ADM5	1.43043	1.35599	1.25622	1.36288	1.3062	1.30258
ADNP	41.1762	42.3891	42.3259	40.6041	40.2119	41.3756
ADNP2	10.3144	10.1696	10.7148	10.2819	9.98644	10.5731
ADO	20.421	20.0108	21.2322	20.3427	20.297	19.7488
ADORA1	3.58838	3.49275	2.7821	2.76172	2.9447	2.5224
ADORA2A	2.15465	2.19086	1.9222	2.07035	2.39496	1.96267
ADORA2A-AS1	1.11743	1.20423	0.651753	0.893149	1.23789	1.00152
ADORA2B	1.57279	1.53904	2.3316	2.40435	1.9989	2.60798
ADORA3	0	0.0139921	0.0293941	0.0276979	0.0588554	0
ADPGK	43.7152	44.0454	40.9747	40.4494	41.24	40.9524
ADPGK-AS1	1.66586	1.44484	1.03827	1.32049	1.48561	1.43727
ADPRH	0.0351577	0.0336789	0.0261537	0.0961231	0.0692585	0.0949665
ADPRHL1	1.84472	1.88913	2.28356	2.02877	2.05932	1.97458
ADPRHL2	19.8818	19.3935	18.1841	18.8542	20.1102	18.4396
ADPRM	3.2233	3.29495	3.06832	3.22611	3.3027	3.1023
ADRA1A	0.0270769	0.090783	0.120854	0.1346	0.13335	0.119682
ADRA1B	0.0554742	0.0398557	0	0.0275763	0.0409803	0
ADRA1D	0.0230967	0.0331878	0.0229087	0.0344442	0.0113748	0.0567162
ADRA2A	5.03745	4.38013	2.93637	3.63675	3.63352	3.37985
ADRA2B	0	0	0.00921033	0	0	0
ADRA2C	6.61292	6.22608	3.63322	4.88259	4.39024	4.69647
ADRB1	0.0427879	0.0409882	0.0106099	0.0425398	0.0421448	0.031521
ADRB2	0.108274	0.0889022	0.153417	0.0768898	0.106646	0.0759646
ADRB3	0	0	0	0	0.0114679	0.0228722
ADRBK1	21.9397	22.673	22.8578	24.744	24.9465	24.9204
ADRBK2	2.05626	2.13289	2.14149	2.14335	2.17092	2.10178
ADRM1	60.4196	57.2604	49.3435	57.1761	55.9328	55.2417
ADSL	29.4278	29.6545	25.7576	25.6352	24.4161	23.9257
ADSS	31.4432	31.3673	31.2639	30.8552	30.4927	30.6031
ADSSL1	6.90222	6.5607	8.47162	8.39422	8.62372	9.46962
ADTRP	0.0177623	0.0510555	0.0176177	0.0353238	0	0.017452
AEBP1	0.183355	0.2459	0.349177	0.313542	0.332303	0.266546
AEBP2	33.9255	33.1201	36.3544	34.0441	35.6261	35.2283
AEN	15.525	15.6577	14.1977	14.6487	13.1373	12.1131
AES	251.354	247.021	273.863	293.574	290.586	291.926
AFAP1	3.26989	3.07642	3.03167	3.20115	3.03375	3.0821
AFAP1-AS1	0.00863025	0	0.05136	0.0557713	0.0765048	0.0720542
AFAP1L1	0.366705	0.462137	0.394061	0.291745	0.342407	0.292687
AFAP1L2	0.0151008	0.0144657	0.029962	0.0225199	0.0372115	0.0222489
AFF1	9.18301	9.5208	9.42762	9.46313	9.04946	8.95293
AFF2	0.529842	0.526766	0.541424	0.490675	0.498662	0.491274
AFF3	10.8304	11	7.99799	8.14011	7.79803	7.70271
AFF4	30.9397	32.5496	35.8441	33.3053	32.7272	33.0267
