Category	Term	Description	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	-log10(adj.P.Val)
REACTOME_PATHWAY	R-MMU-114608:R-MMU-114608	Platelet degranulation (Mus musculus)	29	0.989423405	0.023179553	"FAM3C, CLU, TGFB3, ITGB3, MMRN1, TIMP3, TRF, TGFB2, SERPINE1, HSPA5, CDC37L1, FN1, SELP, PHACTR2, STXBP2, IGF1, IGF2, SPARC, PCDH7, MAGED2, SOD1, GAS6, VEGFC, SERPINA3G, VEGFA, SYTL4, TMSB4X, WDR1, PROS1"	1094	133	7575	1.509773062	0.999999994	0.741675805	30.2648817	0.129785888
REACTOME_PATHWAY	R-MMU-1442490:R-MMU-1442490	Collagen degradation (Mus musculus)	17	0.580006824	0.029904037	"COL4A2, COL4A1, COL3A1, COL15A1, MMP3, COL5A2, MMP13, COL4A6, COL4A5, MMP10, COL6A2, COL6A1, COL12A1, COL11A2, COL8A2, COL11A1, PHYKPL"	1094	68	7575	1.731032907	1	0.805126993	37.28945805	0.094135613
REACTOME_PATHWAY	R-MMU-446193:R-MMU-446193	Asparagine N-linked glycosylation (Mus musculus)	5	0.170590242	0.043978311	"ALG1, ALG2, MPDU1, ALG3, ALG12"	1094	10	7575	3.462065814	1	0.88206481	49.90582197	0.054499504
REACTOME_PATHWAY	R-MMU-983712:R-MMU-983712	Ion channel transport (Mus musculus)	8	0.272944388	0.047534645	"ATP6V0C, ATP6V1A, ATP6V0E, ATP6V0E2, ATP6V1H, ATP6V0A1, ATP6V0A4, ATP6V0D1"	1094	24	7575	2.308043876	1	0.887652468	52.69469313	0.051757035
REACTOME_PATHWAY	R-MMU-2428928:R-MMU-2428928	IRS-related events triggered by IGF1R (Mus musculus)	4	0.136472194	0.042671271	"IRS2, IGF1, IGF2, IRS1"	1094	6	7575	4.616087751	1	0.889443278	48.84276542	0.050881743
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
